index,Size,Time taken
354,356,0.054723
355,357,0.056883
356,358,0.060043
357,359,0.054594
358,360,0.054755
359,361,0.056660
360,362,0.056993
361,363,0.063965
362,364,0.060039
363,365,0.059814
364,366,0.058008
365,367,0.068209
366,368,0.060844
367,369,0.059025
368,370,0.059671
369,371,0.070392
370,372,0.062133
371,373,0.058363
372,374,0.059714
373,375,0.073001
374,376,0.058870
375,377,0.063120
376,378,0.060296
377,379,0.062641
378,380,0.065441
379,381,0.063927
380,382,0.067019
381,383,0.066363
382,384,0.063968
383,385,0.064663
384,386,0.063312
385,387,0.062782
386,388,0.065425
387,389,0.063547
388,390,0.079576
389,391,0.066532
390,392,0.068359
391,393,0.069083
392,394,0.068991
393,395,0.066961
394,396,0.067445
395,397,0.076898
396,398,0.066927
397,399,0.067151
398,400,0.071692
399,401,0.067637
400,402,0.068767
401,403,0.072661
402,404,0.084373
403,405,0.071889
404,406,0.071707
405,407,0.072113
406,408,0.070302
407,409,0.071587
408,410,0.077060
409,411,0.075833
410,412,0.074852
411,413,0.079789
412,414,0.074693
413,415,0.074598
414,416,0.080274
415,417,0.087142
416,418,0.075161
417,419,0.079223
418,420,0.078790
419,421,0.076945
420,422,0.075420
421,423,0.075888
422,424,0.076635
423,425,0.076613
424,426,0.086326
425,427,0.078034
426,428,0.078037
427,429,0.080115
428,430,0.082273
429,431,0.079555
430,432,0.084695
431,433,0.084043
432,434,0.087282
433,435,0.078829
434,436,0.084552
435,437,0.085399
436,438,0.079399
437,439,0.083898
438,440,0.087377
439,441,0.098363
440,442,0.082974
441,443,0.083033
442,444,0.085678
443,445,0.093938
444,446,0.089384
445,447,0.085641
446,448,0.088258
447,449,0.087824
448,450,0.087853
449,451,0.107487
450,452,0.100116
451,453,0.089428
452,454,0.086448
453,455,0.090548
454,456,0.087119
455,457,0.090851
456,458,0.092522
457,459,0.091327
458,460,0.100098
459,461,0.093306
460,462,0.093999
461,463,0.091467
462,464,0.096459
463,465,0.093548
464,466,0.098108
465,467,0.097055
466,468,0.093762
467,469,0.094164
468,470,0.097199
469,471,0.100685
470,472,0.098518
471,473,0.103787
472,474,0.100041
473,475,0.094852
474,476,0.098466
475,477,0.097527
476,478,0.097941
477,479,0.099720
478,480,0.106469
479,481,0.103700
480,482,0.098243
481,483,0.100792
482,484,0.100789
483,485,0.101756
484,486,0.105363
485,487,0.114785
486,488,0.106149
487,489,0.100917
488,490,0.102660
489,491,0.102019
490,492,0.106607
491,493,0.103891
492,494,0.118874
493,495,0.103121
494,496,0.109680
495,497,0.107176
496,498,0.105166
497,499,0.108960
498,500,0.110248
499,501,0.113518
500,502,0.106425
501,503,0.124049
502,504,0.108200
503,505,0.124298
504,506,0.261206
505,507,0.114606
506,508,0.113529
507,509,0.112678
508,510,0.119630
509,511,0.117235
510,512,0.117958
511,513,0.114584
512,514,0.117801
513,515,0.112752
514,516,0.120031
515,517,0.113521
516,518,0.117605
517,519,0.122060
518,520,0.117876
519,521,0.118895
520,522,0.118228
521,523,0.121129
522,524,0.117363
523,525,0.141566
524,526,0.118401
525,527,0.130373
526,528,0.124476
527,529,0.130771
528,530,0.119363
529,531,0.135288
530,532,0.127174
531,533,0.123526
532,534,0.123265
533,535,0.123322
534,536,0.128227
535,537,0.122982
536,538,0.127890
537,539,0.127042
538,540,0.125807
539,541,0.125514
540,542,0.130834
541,543,0.126849
542,544,0.135180
543,545,0.128616
544,546,0.127431
545,547,0.133675
546,548,0.137247
547,549,0.130307
548,550,0.141960
549,551,0.137068
550,552,0.133217
551,553,0.136904
552,554,0.131494
553,555,0.131070
554,556,0.135417
555,557,0.130545
556,558,0.134712
557,559,0.150754
558,560,0.138615
559,561,0.139912
560,562,0.138784
561,563,0.140835
562,564,0.139509
563,565,0.141311
564,566,0.147712
565,567,0.137991
566,568,0.137744
567,569,0.148013
568,570,0.142196
569,571,0.138252
570,572,0.146828
571,573,0.146488
572,574,0.140780
573,575,0.147408
574,576,0.143816
575,577,0.141885
576,578,0.146959
577,579,0.147489
578,580,0.154469
579,581,0.149314
580,582,0.146258
581,583,0.222643
582,584,0.146423
583,585,0.149533
584,586,0.158773
585,587,0.145180
586,588,0.153231
587,589,0.157032
588,590,0.146695
589,591,0.154261
590,592,0.157101
591,593,0.155233
592,594,0.161184
593,595,0.163130
594,596,0.154444
595,597,0.163805
596,598,0.168868
597,599,0.155885
598,600,0.167395
599,601,0.162222
600,602,0.157380
601,603,0.157352
602,604,0.163919
603,605,0.163531
604,606,0.167394
605,607,0.163032
606,608,0.159299
607,609,0.371025
608,610,0.166599
609,611,0.159472
610,612,0.160860
611,613,0.182329
612,614,0.173346
613,615,0.167536
614,616,0.171163
615,617,0.165671
616,618,0.171969
617,619,0.182177
618,620,0.169528
619,621,0.169833
620,622,0.165484
621,623,0.172124
622,624,0.170228
623,625,0.175256
624,626,0.189557
625,627,0.174273
626,628,0.179891
627,629,0.184532
628,630,0.172736
629,631,0.182567
630,632,0.171620
